,c_noausentes_1er_anio,cursadas_ap_1er_anio,c_libres_1er_anio,cursadas_1er_anio,fracaso_academico,id_cluster
1660,1,1,0,5,0,2
1663,0,0,0,5,0,2
1666,1,1,0,4,0,2
1668,3,1,2,5,0,2
1672,4,2,2,5,0,2
1680,0,0,0,4,0,2
1681,1,1,0,5,0,2
1682,1,1,0,4,0,2
1683,1,1,0,5,0,2
1686,0,0,0,4,0,2
1690,1,1,0,4,0,2
1691,1,1,0,3,0,2
1695,1,1,0,4,0,2
1696,4,2,2,5,0,2
1697,2,1,1,8,0,2
1698,1,1,0,4,0,2
1700,0,0,0,4,0,2
1701,0,0,0,3,0,2
1704,0,0,0,2,0,2
1706,0,0,0,2,0,2
1710,4,3,1,7,0,2
1711,3,1,2,5,0,2
1713,2,1,1,7,0,2
1715,1,1,0,4,0,2
1716,1,1,0,4,0,2
1717,0,0,0,4,0,2
1723,4,1,3,7,0,2
1724,0,0,0,3,0,2
1725,4,2,2,6,0,2
1727,2,2,0,5,0,2
1728,1,0,1,5,0,2
1729,1,1,0,4,0,2
1730,4,2,2,5,0,2
1731,1,1,0,3,0,2
1732,1,0,1,2,0,2
1733,0,0,0,3,0,2
1734,4,3,1,6,0,2
1735,2,1,1,7,0,2
1736,2,1,1,4,0,2
1739,2,1,1,3,0,2
1740,4,1,3,7,0,2
1741,2,1,1,4,0,2
1742,3,2,1,5,0,2
1745,1,1,0,3,0,2
1746,2,1,1,7,0,2
1747,2,0,2,8,0,2
1748,1,1,0,3,0,2
1750,1,0,1,4,0,2
1752,1,1,0,3,0,2
1753,3,2,1,6,0,2
1754,2,0,2,4,0,2
1755,2,2,0,7,0,2
1756,1,1,0,5,0,2
1757,2,1,1,2,0,2
1758,1,0,1,5,0,2
1759,4,3,1,5,0,2
1760,0,0,0,5,0,2
1762,3,2,1,5,0,2
1763,3,3,0,4,0,2
1764,0,0,0,2,0,2
1765,2,2,0,4,0,2
1766,4,3,1,5,0,2
1767,2,2,0,4,0,2
1769,3,1,2,5,0,2
1770,0,0,0,3,0,2
1775,1,1,0,4,0,2
1777,3,1,2,4,0,2
1778,3,1,2,5,0,2
1779,4,2,2,5,0,2
1780,1,0,1,3,0,2
1781,3,2,1,7,0,2
1784,0,0,0,4,0,2
1785,0,0,0,3,0,2
1786,4,2,2,4,0,2
1788,0,0,0,3,0,2
1789,3,3,0,7,0,2
1791,4,1,3,7,0,2
1794,4,3,1,7,0,2
1796,3,1,2,7,0,2
1797,5,5,0,5,0,2
1798,1,1,0,7,0,2
1799,4,1,3,6,0,2
1800,2,1,1,5,0,2
1801,0,0,0,4,0,2
1804,2,0,2,4,0,2
1805,3,2,0,9,0,2
1806,5,4,0,5,0,2
1808,3,2,1,5,0,2
1811,4,0,3,7,0,2
1813,4,1,2,7,0,2
1815,2,2,0,5,0,2
1817,4,3,0,7,0,2
1818,1,1,0,2,0,2
1820,3,1,1,9,0,2
1822,2,1,0,8,0,2
1823,4,1,2,8,0,2
1826,5,2,2,6,0,2
1827,3,2,0,7,0,2
1832,1,1,0,4,0,2
1833,3,3,0,5,0,2
1834,1,1,0,3,0,2
1837,1,0,0,5,0,2
1838,2,0,1,9,0,2
1843,2,1,0,6,0,2
1844,4,3,0,8,0,2
1847,1,0,0,8,0,2
1848,2,1,0,8,0,2
1849,1,0,0,5,0,2
1852,1,1,0,4,0,2
1857,3,3,0,4,0,2
1858,3,2,0,6,0,2
1859,3,2,0,8,0,2
1860,3,2,0,9,0,2
1865,2,0,1,6,0,2
1866,2,1,0,6,0,2
1867,4,1,2,5,0,2
1869,2,1,0,9,0,2
1871,3,1,1,7,0,2
1873,2,1,1,3,0,2
1874,2,1,0,6,0,2
1876,3,1,1,6,0,2
1879,1,0,0,7,0,2
1880,1,1,0,5,0,2
1882,1,1,0,2,0,2
1883,4,3,0,8,0,2
1884,3,0,2,10,0,2
1887,2,1,0,6,0,2
1889,4,1,2,8,0,2
1891,1,1,0,3,0,2
1892,1,0,0,7,0,2
1893,2,0,1,6,0,2
1894,5,1,3,6,0,2
1895,3,1,1,8,0,2
1897,1,0,0,4,0,2
1898,2,0,1,5,0,2
1899,4,1,2,6,0,2
1900,4,2,1,8,0,2
1901,3,1,1,5,0,2
1902,1,0,0,5,0,2
1903,5,4,1,5,0,2
1906,2,1,1,3,0,2
1907,0,0,0,3,0,2
1909,0,0,0,3,0,2
1910,2,0,1,7,0,2
1912,1,1,0,4,0,2
1914,1,1,0,2,0,2
1916,1,0,0,6,0,2
1917,2,1,1,5,0,2
1920,2,0,1,8,0,2
1921,2,1,0,6,0,2
1922,2,2,0,3,0,2
1925,1,0,0,9,0,2
1931,1,0,0,8,0,2
1932,3,2,0,6,0,2
1934,2,0,1,4,0,2
1935,0,0,0,4,0,2
1936,2,1,0,5,0,2
1937,2,1,0,6,0,2
1938,1,1,0,4,0,2
1941,0,0,0,3,0,2
1944,3,1,2,5,0,2
1946,0,0,0,5,0,2
1956,0,0,0,3,0,2
1957,0,0,0,4,0,2
1958,0,0,0,4,0,2
1962,3,1,2,5,0,2
1966,2,2,0,5,0,2
1967,3,1,2,7,0,2
1968,1,0,1,5,0,2
1970,0,0,0,4,0,2
1972,0,0,0,5,0,2
1973,1,0,1,6,0,2
1974,4,4,0,7,0,2
1975,3,1,2,7,0,2
1978,1,0,0,5,0,2
1979,3,1,1,5,0,2
